#in total 219 marker taxa were identified between D006262(Health) and D015179(Colorectal Neoplasms)
project id	scientific name	ncbi taxon id	taxonomic rank	LDA	nr. projects in which this taxon is a marker
PRJDB4176	Porphyromonas	836	genus	4.076910018920898	7
PRJEB12449	Blautia	572511	genus	4.079969882965088	4
PRJEB7774	Dialister invisus	218538	species	4.091390132904053	1
PRJEB27928	Porphyromonas asaccharolytica	28123	species	4.098110198974609	6
PRJDB4176	Porphyromonas endodontalis	28124	species	4.124259948730469	1
PRJEB27928	Lachnospiraceae bacterium 3_1_57FAA_CT1	658086	species	4.1296000480651855	4
PRJDB4176	[Ruminococcus] torques	33039	species	4.141660213470459	3
PRJDB4176	Ruminococcus bromii	40518	species	4.143080234527588	2
PRJEB10878	Bacteroides fragilis	817	species	4.148970127105713	5
PRJEB12449	[Ruminococcus] torques	33039	species	4.155819892883301	3
PRJNA399638	Parvimonas	543311	genus	4.158790111541748	8
PRJDB4176	Alistipes	239759	genus	4.164420127868652	3
PRJEB27928	Porphyromonas uenonis	281920	species	4.165719985961914	4
PRJEB10878	Bacteroides dorei	357276	species	4.212930202484131	2
PRJEB6070	Alistipes	239759	genus	4.219679832458496	3
PRJDB4176	Prevotella stercorea	363265	species	4.2311201095581055	3
PRJNA399638	Peptostreptococcus	1257	genus	4.244729995727539	8
PRJEB12449	Bacteroides fragilis	817	species	4.251669883728027	5
PRJEB27928	Prevotella nigrescens	28133	species	4.274290084838867	2
PRJEB27928	Porphyromonas	836	genus	4.275370121002197	7
PRJDB4176	Subdoligranulum	292632	genus	4.301449775695801	2
PRJEB10878	Blautia	572511	genus	4.351789951324463	4
PRJNA399638	Clostridium	1485	genus	4.371319770812988	5
PRJEB12449	Escherichia	561	genus	4.376130104064941	3
PRJDB4176	Prevotella	838	genus	4.418210029602051	3
PRJEB6070	Subdoligranulum	292632	genus	4.4214701652526855	2
PRJEB7774	Methanobrevibacter smithii	2173	species	4.42218017578125	2
PRJNA447983	Escherichia coli	562	species	4.4267802238464355	3
PRJNA399638	Fusobacterium	848	genus	4.4397101402282715	7
PRJEB7774	Methanobrevibacter	2172	genus	4.441740036010742	2
PRJEB12449	Escherichia coli	562	species	4.473750114440918	3
PRJNA399638	Ralstonia	48736	genus	4.488039970397949	1
PRJNA447983	Escherichia	561	genus	4.504030227661133	3
PRJEB7774	Prevotella copri	165179	species	4.548920154571533	2
PRJNA445640	Streptococcus	1301	genus	4.588389873504639	3
PRJEB27928	Blautia	572511	genus	4.6003899574279785	4
PRJEB7774	Prevotella	838	genus	4.617770195007324	3
PRJEB6070	Bacteroides	816	genus	4.656620025634766	4
PRJEB7774	Escherichia	561	genus	4.679299831390381	3
PRJEB7774	Escherichia coli	562	species	4.716650009155273	3
PRJEB7774	Bacteroides	816	genus	4.759960174560547	4
PRJNA445640	Clostridium	1485	genus	4.843100070953369	5
PRJNA399638	Lactobacillus	1578	genus	4.8625898361206055	3
PRJNA399638	Enterococcus	1350	genus	5.095980167388916	3
